空域ID,城市,垂直范围,水平范围
ZBAAAR04,北京,0-12500,"N402256 E1190536, N401517 E1180952, N400700 E1171117, N402102 E1170843, N404250 E1171655, N404448 E1165513, N411246 E1165944, N413439 E1170452, N413740 E1171804, N415155 E1181718, N402256 E1190536"
ZBAAAR05,北京,0-12500,"N402916 E1160846, N401905 E1160806, N400605 E1152929, N401004 E1141227, N401232 E1133246, N401501 E1130037, N401630 E1122901, N403111 E1122946, N405806 E1125518, N412749 E1132340, N412000 E1143100, N410950 E1144332, N405221 E1150651, N402916 E1160846"
ZBAAAR06,北京,0-12500,"N401630 E1122901, N401031 E1123021, N394930 E1124821, N394943 E1132456, N384809 E1135202, N383414 E1135810, N385312 E1143635, N391831 E1152815, N393653 E1160645, N401905 E1160806, N400605 E1152929, N401004 E1141227, N401232 E1133246, N401501 E1130037, N401630 E1122901"
ZBAAAR07,北京,7800-12500,"N432415 E1112236, N415625 E1123846, N413057 E1125726, N405806 E1125518, N403111 E1122946, N401630 E1122901, N401031 E1123021, N394930 E1124821, N393100 E1121700, N391856 E1113647, N390223 E1104150, N405049 E1104629, N421952 E1094000, N424022 E1101306, National Boundaries, N432415 E1112236"
ZBAAAR08,北京,7800-12500,"N424022 E1101306, N421952 E1094000, N405049 E1104629, N390223 E1104150, N384400 E1094100, N401842 E1070012, N404300 E1055500, N414451 E1051345, National Boundaries, N424022 E1101306"
ZBAAAR09,北京,7800-12500,"N384400 E1094100, N390223 E1104150, N391856 E1113647, N370342 E1122120, N353542 E1123859, N351345 E1114909, N343200 E1101500, N353200 E1101800, N372800 E1104400, N382200 E1103600, N384400 E1094100"
ZBAAAR10,北京,7800-12500,"N391856 E1113647, N393100 E1121700, N394930 E1124821, N394943 E1132456, N383414 E1135810, N381900 E1140500, N373655 E1141357, N370342 E1122120, N391856 E1113647"
ZBAAAR11,北京,7800-12500,"N370342 E1122120, N373655 E1141357, N361900 E1143000, N360400 E1134836, N354252 E1125635, N353542 E1123859, N370342 E1122120"
ZBAAAR12,北京,0-12500,"N383414 E1135810, N385312 E1143635, N391831 E1152815, N384003 E1153153, N383952 E1154034, N381717 E1152620, N374837 E1152812, N374009 E1152255, N374928 E1145751, N373655 E1141357, N381900 E1140500, N383414 E1135810"
ZBAAAR13,北京,0-8400,"N373655 E1141357, N374928 E1145751, N374009 E1152255, N372520 E1160203, N365511 E1160246, N364000 E1152400, N361900 E1143000, N373655 E1141357"
ZBAAAR14,北京,8400-12500,"N373655 E1141357, N374928 E1145751, N374009 E1152255, N372520 E1160203, N365511 E1160246, N364000 E1152400, N361900 E1143000, N373655 E1141357"
ZBAAAR15,北京,0-8400,"N391831 E1152815, N393653 E1160645, N383850 E1161217, N381545 E1160139, N374249 E1160148, N372520 E1160203, N374009 E1152255, N374837 E1152812, N381717 E1152620, N383952 E1154034, N384003 E1153153, N391831 E1152815"
ZBAAAR16,北京,8400-12500,"N383952 E1154034, N383850 E1161217, N381545 E1160139, N374249 E1160148, N372520 E1160203, N374009 E1152255, N374837 E1152812, N381717 E1152620, N383952 E1154034"
ZBAAAR17,北京,0-12500,"N383850 E1161217, N381545 E1160139, N374249 E1160148, N372520 E1160203, N365511 E1160246, N371502 E1165337, N381641 E1162906, N383815 E1163052, N383850 E1161217"
ZBAAAR18,北京,0-12500,"N383633 E1172443, N372912 E1173000, N372654 E1172409, N371502 E1165337, N381641 E1162906, N383815 E1163052, N383633 E1172443"
ZBAAAR19,北京,0-12500,"N394636 E1171459, N392536 E1171847, N390917 E1173001, N390413 E1180204, N384239 E1180139, N383522 E1180225, N383633 E1172443, N383815 E1163052, N383850 E1161217, N383952 E1154034, N384003 E1153153, N391831 E1152815, N393653 E1160645, N394636 E1171459"
ZBAAAR20,北京,0-12500,"N400700 E1171117, N401517 E1180952, N402256 E1190536, N395400 E1192100, N385756 E1184517, N383630 E1184212, N384239 E1180139, N390413 E1180204, N390917 E1173001, N392536 E1171847, N400700 E1171117"
ZBAAAR21,北京,0-12500,"N395400 E1192100, N393000 E1195200, N384441 E1195659, N382444 E1195858, N383630 E1184212, N385756 E1184517, N395400 E1192100"
ZBAAAR22,北京,0-12500,"N383522 E1180225, N384239 E1180139, N383630 E1184212, N382444 E1195858, N381500 E1200000, N380700 E1193300, N374241 E1181300, N372912 E1173000, N383633 E1172443, N383522 E1180225"
ZBAAAR23,北京,7800-12500,"N364000 E1152400, N365511 E1160246, N371502 E1165337, N372654 E1172409, N372912 E1173000, N374241 E1181300, N380700 E1193300, N373724 E1194148, N363842 E1190718, N361210 E1191102, N361926 E1180214, N362215 E1173418, N362436 E1171242, N355543 E1151123, N363818 E1151938, N364000 E1152400"
ZBAAAR24,北京,7800-12500,"N355543 E1151123, N362436 E1171242, N362215 E1173418, N361926 E1180214, N361210 E1191102, N350530 E1192024, N344400 E1171642, N343100 E1155430, N345328 E1152845, N351800 E1150400, N355543 E1151123"
ZBAAAR25,北京,9800-12500,"N354252 E1125635, N360400 E1134836, N361900 E1143000, N363818 E1151938, N355543 E1151123, N351800 E1150400, N345328 E1152845, N341731 E1144240, N342221 E1141823, N342706 E1135425, N340754 E1132653"
ZBAAAR26,北京,7800-9800,"N354252 E1125635, N360400 E1134836, N361900 E1143000, N363818 E1151938, N355543 E1151123, N351800 E1150400, N345328 E1152845, N341731 E1144240, N342221 E1141823, N342706 E1135425, N340754 E1132653, N354252 E1125635"
ZBAAAR27,北京,9800-12500,"N342706 E1135425, N342221 E1141823, N341731 E1144240, N345328 E1152845, N343100 E1155430, N325430 E1154848, N320730 E1140412, N323403 E1130519, N335400 E1133035, N340754 E1132653, N342706 E1135425"
ZBAAAR28,北京,7800-9800,"N342706 E1135425, N342221 E1141823, N341731 E1144240, N345328 E1152845, N343100 E1155430, N325430 E1154848, N320730 E1140412, N323403 E1130519, N335400 E1133035, N340754 E1132653, N342706 E1135425"
ZBAAAR29,北京,9800-12500,"N343200 E1101500, N351345 E1114909, N353542 E1123859, N354252 E1125635, N340754 E1132653, N335400 E1133035, N323403 E1130519, N325635 E1121509, N325736 E1121244, N331918 E1112104, N333200 E1105200, N340500 E1102900, N343200 E1101500"
ZBAAAR30,北京,7800-9800,"N343200 E1101500, N351345 E1114909, N345230 E1115500, N340458 E1120734, N325736 E1121244, N331918 E1112104, N333200 E1105200, N340500 E1102900, N343200 E1101500"
ZBAAAR31,北京,7800-9800,"N351345 E1114909, N353542 E1123859, N354252 E1125635, N340754 E1132653, N335400 E1133035, N323403 E1130519, N325635 E1121509, N325736 E1121244, N340458 E1120734, N351345 E1114909"
ZBYNAR01,太原,6000-7800,"N392337 E1115042, N393100 E1121700, N400600 E1131736, N381900 E1140500, N372715 E1141600, N370341 E1122120, N371810 E1121618, N392337 E1115042"
ZBYNAR02,太原,0-7800,"N370341 E1122120, N372715 E1141600, N361900 E1143000, N360400 E1134836, N353145 E1122912, N370341 E1122120"
ZBYNAR03,太原,0-7800,"N352639 E1101744, N371810 E1121618, N370341 E1122120, N353145 E1122912, N343200 E1101500, N352639 E1101744"
ZBYNAR04,太原,6000-7800,"N384400 E1094100, N392337 E1115042, N371810 E1121618, N352639 E1101744, N353200 E1101800, N362824 E1103036, N372800 E1104400, N375548 E1103954, N382200 E1103600, N384400 E1094100"
ZBYNAR05,太原,0-6000,"N384400 E1094100, N393100 E1121700, N400600 E1131736, N381900 E1140500, N372715 E1141600, N370341 E1122120, N371810 E1121618, N352639 E1101744, N353200 E1101800, N362824 E1103036, N372800 E1104400, N375548 E1103954, N382200 E1103600, N384400 E1094100"
ZYTLAR01,大连,8900-12500,"N395400 E1192100, N400720 E1210103, N394237 E1202908, N384233 E1210404, N383134 E1221216, N381501 E1221256, N381500 E1200000, N393000 E1195200, N395400 E1192100"
ZYTLAR02,大连,8900-12500,"N400720 E1210103, N401548 E1221130, N394941 E1241006, N385742 E1240456, N382852 E1222918, N383134 E1221216, N384233 E1210404, N394237 E1202908, N400720 E1210103"
ZYTLAR03,大连,8900-12500,"N381501 E1221256, N380726 E1221704, N372831 E1230712, N370056 E1230759, N365100 E1232200, N363726 E1234005, N363732 E1240000, N380000 E1240000, N385742 E1240456, N382852 E1222918, N383134 E1221216"
ZYTLAR04,大连,0-8900,"N395400 E1192100, N400720 E1210103, N394237 E1202908, N384233 E1210404, N383134 E1221216, N381501 E1221256, N381500 E1200000, N393000 E1195200, N395400 E1192100"
ZYTLAR05,大连,0-8900,"N400720 E1210103, N401548 E1221130, N394941 E1241006, N385742 E1240456, N382852 E1222918, N383134 E1221216, N384233 E1210404, N394237 E1202908, N400720 E1210103"
ZYTLAR06,大连,0-8900,"N381501 E1221256, N380726 E1221704, N372831 E1230712, N370056 E1230759, N365100 E1232200, N363726 E1234005, N363732 E1240000, N380000 E1240000, N385742 E1240456, N382852 E1222918, N383134 E1221216, N381501 E1221256"
ZSJNAP01,济南,0-7800,"N364000 E1152400, N372654 E1172409, N362215 E1173418, N362436 E1171242, N355912 E1152542, N364000 E1152400"
ZSJNAP02,济南,0-7800,"N355912 E1152542, N362436 E1171242, N361210 E1191102, N350530 E1192024, N344400 E1171642, N343100 E1155430, N351448 E1152700, N355912 E1152542"
ZSJNAP03,济南,0-7800,"N372654 E1172409, N372912 E1173000, N380700 E1193300, N373724 E1194148, N363842 E1190718, N361210 E1191102, N362215 E1173418, N372654 E1172409"
ZSJNAP04,济南,0-3000,"N380700 E1193300, N373724 E1194148, N363842 E1190718, N361210 E1191102, N350530 E1192024, N344400 E1171642, N343100 E1155430, N351448 E1152700, N360002 E1152530, N360002 E1181300, N374241 E1181300, N380700 E1193300"
ZSOFAP01,合肥,0-7800,"N314300 E1180618, N324000 E1175254, N315717 E1170257, N314106 E1170015, N312035 E1165838, N312414 E1184252, N313412 E1184200, N313910 E1180600, N314300 E1180618"
ZSOFAP02,合肥,0-7800,"N312035 E1165838, N300500 E1155600, N294412 E1181512, N305706 E1184512, N312414 E1184252, N312035 E1165838"
ZSOFAP03,合肥,0-7800,"N315241 E1155127, N315717 E1170257, N314106 E1170015, N312035 E1165838, N300500 E1155600, N315241 E1155127"
ZSOFAP04,合肥,0-7800,"N343100 E1155430, N325430 E1154848, N315241 E1155127, N315717 E1170257, N320307 E1170943, N333155 E1163749, N343100 E1155430"
ZSOFAP05,合肥,0-7800,"N343100 E1155430, N344400 E1171642, N340342 E1173254, N324000 E1175254, N320307 E1170943, N333155 E1163749, N343100 E1155430"
ZSQDAP01,青岛,0-12500,"N381500 E1214834, N381501 E1221256, N380726 E1221704, N372831 E1230712, N370056 E1230759, N365100 E1232200, N363726 E1234005, N363732 E1240000, N362124 E1240000, N362410 E1232310, N363617 E1225344, N362555 E1213313, N372700 E1211048, N381500 E1214834"
ZSQDAP02,青岛,8400-12500,"N380700 E1193300, N381500 E1200000, N381500 E1214834, N372700 E1211048, N362555 E1213313, N361712 E1202206, N361210 E1191102, N363842 E1190718, N373724 E1194148, N380700 E1193300"
ZSQDAP03,青岛,6600-8400,"N380700 E1193300, N381500 E1200000, N381500 E1214834, N372700 E1211048, N362555 E1213313, N361712 E1202206, N361210 E1191102, N363842 E1190718, N373724 E1194148, N380700 E1193300"
ZSQDAP06,青岛,0-8400,"N361210 E1191102, N361712 E1202206, N362555 E1213313, N355824 E1214149, N350000 E1220458, N350000 E1200000, N350530 E1192024, N361210 E1191102"
ZSQDAP07,青岛,8400-12500,"N361210 E1191102, N361712 E1202206, N362555 E1213313, N355824 E1214149, N350000 E1220458, N350000 E1200000, N350530 E1192024, N361210 E1191102"
ZSQDAP08,青岛,0-12500,"N362555 E1213313, N355824 E1214149, N350000 E1220458, N350000 E1240000, N362124 E1240000, N362410 E1232310, N363617 E1225344, N362555 E1213313"
ZSQDAP09,青岛,0-6600,"N380700 E1193300, N381500 E1200000, N381500 E1214834, N372700 E1211048, N362555 E1213313, N361712 E1202206, N361210 E1191102, N363842 E1190718, N373724 E1194148, N380700 E1193300"
ZSSSAR01,上海,6000-12500,"N294030 E1185740, N293050 E1185655, N292505 E1190115, N291920 E1190540, N290700 E1192310, N292400 E1193810, N291534 E1200725, N293700 E1201400, N295307 E1201431, N295715 E1194712, N300046 E1192656, N294030 E1185740"
ZSSSAR02,上海,0-12500,"N282700 E1195359, N291534 E1200725, N293700 E1201400, N295307 E1201431, N293554 E1204854, N290120 E1213600, N283730 E1212648, N282700 E1204300, N282700 E1195359"
ZSSSAR03,上海,0-12500,"N320141 E1240000, N321452 E1250000, N312442 E1250000, N311132 E1240000, N290000 E1240000, N293508 E1234654, N303512 E1222400, N311241 E1224630, N314611 E1224630, N322636 E1225724, N323902 E1240000, N320141 E1240000"
ZSSSAR04,上海,0-12500,"N313847 E1204605, N314758 E1203811, N321017 E1192943, N324755 E1185316, N332700 E1203136, N314342 E1212401, N313847 E1204605"
ZSSSAR05,上海,0-12500,"N313521 E1201944, N314342 E1212401, N315236 E1214712, N314611 E1224630, N311241 E1224630, N301500 E1221200, N301518 E1211311, N302247 E1205633, N311911 E1201848, N313521 E1201944"
ZSSSAR06,上海,6000-12500,"N334906 E1173624, N324000 E1175254, N324021 E1183441, N324755 E1185316, N332700 E1203136, N341855 E1201402, N334630 E1190642, N334906 E1180936, N334906 E1173624"
ZSSSAR07,上海,0-12500,"N331100 E1203950, N332700 E1203136, N350000 E1200000, N350000 E1201039, N350000 E1240000, N323902 E1240000, N322636 E1225724, N331100 E1223849, N331100 E1203950"
ZSSSAR08,上海,0-12500,"N283730 E1212648, N300211 E1220000, N301500 E1221200, N303512 E1222400, N293508 E1234654, N290000 E1240000, N284157 E1234139, N275403 E1225151, N283730 E1212648"
ZSSSAR09,上海,7800-12500,"N273903 E1190612, N264500 E1182500, N262500 E1183300, N261500 E1183000, N253931 E1180002, N255828 E1171316, N265000 E1162900, N271200 E1165800, N274042 E1175918, N275512 E1183154, N273903 E1190612"
ZSSSAR10,上海,7800-12500,"N253931 E1180002, N242200 E1164200, N244024 E1152430, N250530 E1152500, N265000 E1162900, N255828 E1171316, N253931 E1180002"
ZSSSAR11,上海,7800-12500,"N290200 E1143400, N282542 E1155518, N275640 E1161043, N263959 E1152809, N264748 E1151600, N265118 E1144248, N264200 E1135700, N290200 E1143400"
ZSSSAR12,上海,7800-12500,"N300500 E1155600, N295118 E1173023, N292840 E1172700, N284758 E1174716, N275640 E1161043, N282542 E1155518, N290200 E1143400, N300500 E1155600"
ZSSSAR13,上海,7800-12500,"N343100 E1155430, N325430 E1154848, N315241 E1155127, N315717 E1170257, N324000 E1175254, N340342 E1173254, N344400 E1171642, N343100 E1155430"
ZSSSAR14,上海,0-7800,"N324021 E1183441, N324000 E1175254, N314300 E1180618, N313910 E1180600, N313412 E1184200, N312414 E1184252, N312126 E1193835, N313800 E1192200, N314738 E1192200, N321017 E1192943, N324755 E1185316, N324021 E1183441"
ZSSSAR15,上海,0-12500,"N311015 E1202449, N302247 E1205633, N295307 E1201431, N295715 E1194712, N300046 E1192656, N300542 E1185920, N303742 E1195255, N310743 E1201315, N311015 E1202449"
ZSSSAR16,上海,6000-12500,"N344400 E1171642, N340342 E1173254, N334906 E1173624, N334906 E1180936, N334756 E1183507, N342106 E1182307, N345144 E1180129, N344400 E1171642"
ZSSSAR17,上海,7800-12500,"N312035 E1165838, N300500 E1155600, N295118 E1173023, N294412 E1181512, N301126 E1182618, N305706 E1184512, N312414 E1184252, N312035 E1165838"
ZSSSAR18,上海,0-9800,"N283730 E1212648, N275403 E1225151, N262908 E1212656, N272500 E1193700, N282700 E1195359, N282700 E1204300, N283730 E1212648"
ZSSSAR19,上海,6000-12500,"N292400 E1193810, N281700 E1184000, N282233 E1180210, N281700 E1180800, N275512 E1183154, N272748 E1193006, N272500 E1193700, N291534 E1200725, N292400 E1193810"
ZSSSAR20,上海,7800-12500,"N263006 E1154230, N260618 E1160154, N265000 E1162900, N271200 E1165800, N275640 E1161043, N263959 E1152809, N263006 E1154230"
ZSSSAR21,上海,6000-12500,"N284758 E1174716, N292055 E1185253, N292505 E1190115, N293050 E1185655, N294030 E1185740, N300046 E1192656, N301126 E1182618, N294412 E1181512, N295118 E1173023, N292840 E1172700, N284758 E1174716"
ZSSSAR22,上海,7800-12500,"N264200 E1135700, N265118 E1144248, N264748 E1151600, N263959 E1152809, N263006 E1154230, N260618 E1160154, N250530 E1152500, N254600 E1145224, N260300 E1140700, N264200 E1135700"
ZSSSAR23,上海,7800-12500,"N314300 E1180618, N324000 E1175254, N315717 E1170257, N314106 E1170015, N312035 E1165838, N312414 E1184252, N313412 E1184200, N313910 E1180600, N314300 E1180618"
ZSSSAR24,上海,0-12500,"N315236 E1214712, N314342 E1212401, N331100 E1203950, N331100 E1223849, N322636 E1225724, N314611 E1224630, N315236 E1214712"
ZSSSAR25,上海,7800-12500,"N315241 E1155127, N315717 E1170257, N314106 E1170015, N312035 E1165838, N300500 E1155600, N315241 E1155127"
ZSSSAR26,上海,0-12500,"N313521 E1201944, N311911 E1201848, N312126 E1193835, N313800 E1192200, N314738 E1192200, N321017 E1192943, N324755 E1185316, N330401 E1193315, N321214 E1201704, N314758 E1203811, N313847 E1204605, N313521 E1201944"
ZSSSAR27,上海,0-12500,"N305706 E1184512, N301126 E1182618, N300542 E1185920, N303742 E1195255, N310743 E1201315, N311015 E1202449, N311911 E1201848, N312126 E1193835, N312414 E1184252, N305706 E1184512"
ZSSSAR28,上海,9800-12500,"N283730 E1212648, N275403 E1225151, N262908 E1212656, N272500 E1193700, N282700 E1195359, N282700 E1204300, N283730 E1212648"
ZSSSAR29,上海,7800-12500,"N273903 E1190612, N272748 E1193006, N272500 E1193700, N262908 E1212656, N250000 E1200000, N244130 E1193615, N250806 E1190800, N252005 E1185501, N253931 E1180002, N261500 E1183000, N262500 E1183300, N264500 E1182500, N273903 E1190612"
ZSSSAR30,上海,7800-12500,"N252005 E1185501, N250806 E1190800, N244130 E1193615, N230000 E1173000, N233000 E1173000, N234200 E1171100, N240000 E1165800, N242200 E1164200, N253931 E1180002, N252005 E1185501"
ZSSSAR31,上海,6000-12500,"N292505 E1190115, N291920 E1190540, N290700 E1192310, N281700 E1184000, N282233 E1180210, N282642 E1175748, N284758 E1174716, N292055 E1185253, N292505 E1190115"
ZSSSAR32,上海,7800-12500,"N295307 E1201431, N302247 E1205633, N301518 E1211311, N301500 E1221200, N300211 E1220000, N290120 E1213600, N293554 E1204854, N295307 E1201431"
ZSSSAR34,上海,7800-12500,"N324021 E1183441, N324000 E1175254, N314300 E1180618, N313910 E1180600, N313412 E1184200, N312414 E1184252, N312126 E1193835, N313800 E1192200, N314738 E1192200, N321017 E1192943, N324755 E1185316, N324021 E1183441"
ZSSSAR35,上海,7800-12500,"N271200 E1165800, N274042 E1175918, N275512 E1183154, N281700 E1180800, N282233 E1180210, N282642 E1175748, N284758 E1174716, N275640 E1161043, N271200 E1165800"
ZSSSAR36,上海,6000-12500,"N345144 E1180129, N342106 E1182307, N334756 E1183507, N334630 E1190642, N341855 E1201402, N350000 E1200000, N350530 E1192024, N345144 E1180129"
ZHCCAR01,郑州,0-7800,"N364000 E1152400, N351448 E1152700, N345353 E1153943, N341731 E1144240, N342706 E1135425, N340133 E1131748, N354459 E1130031, N360400 E1134836, N361900 E1143000, N364000 E1152400"
ZHCCAR02,郑州,0-7800,"N321238 E1141534, N335556 E1142354, N342221 E1141823, N341731 E1144240, N345353 E1153943, N343100 E1155430, N325430 E1154848, N321238 E1141534"
ZHCCAR03,郑州,0-7800,"N333200 E1105200, N323502 E1130153, N340133 E1131748, N354459 E1130031, N343200 E1101500, N340500 E1102900, N333200 E1105200"
ZHCCAR04,郑州,0-7800,"N321238 E1141534, N335556 E1142354, N342221 E1141823, N342706 E1135425, N340133 E1131748, N323502 E1130153, N320730 E1140412, N321238 E1141534"
ZSCNAP01,南昌,0-7800,"N300500 E1155600, N294412 E1181512, N292558 E1181105, N284937 E1162934, N290312 E1160926, N300500 E1155600"
ZSCNAP02,南昌,0-7800,"N300500 E1155600, N290312 E1160926, N284203 E1164046, N274552 E1153917, N273343 E1141035, N290200 E1143400, N300500 E1155600"
ZSCNAP03,南昌,0-7800,"N284203 E1164046, N272547 E1172716, N271200 E1165800, N265000 E1162900, N250530 E1152500, N254600 E1145224, N260300 E1140700, N264200 E1135700, N273343 E1141035, N274552 E1153917, N284203 E1164046"
ZSCNAP04,南昌,0-7800,"N292558 E1181105, N282642 E1175748, N281700 E1180800, N275512 E1183154, N274042 E1175918, N272547 E1172716, N284203 E1164046, N284937 E1162934, N292558 E1181105"
ZHHHAR01,武汉,0-7800,"N304659 E1141214, N320433 E1121632, N322303 E1112330, N331918 E1112104, N320730 E1140412, N325430 E1154848, N315204 E1155129, N313018 E1151712, N304659 E1141214"
ZHHHAR02,武汉,0-7800,"N304659 E1141214, N320433 E1121632, N322303 E1112330, N303343 E1112837, N292800 E1110800, N292430 E1122522, N300357 E1132529, N304659 E1141214"
ZHHHAR03,武汉,0-7800,"N331918 E1112104, N322303 E1112330, N303343 E1112837, N292800 E1110800, N293100 E1092400, N315400 E1093100, N333200 E1105200, N331918 E1112104"
ZHHHAR04,武汉,0-7800,"N304659 E1141214, N313018 E1151712, N315204 E1155129, N300500 E1155600, N290200 E1143400, N300520 E1141833, N304659 E1141214"
ZHHHAR05,武汉,0-7800,"N304659 E1141214, N300357 E1132529, N292430 E1122522, N292300 E1130712, N290200 E1143400, N300520 E1141833, N304659 E1141214"
ZGGGAR01,广州,6000-12500,"N244800 E1145100, N244537 E1145805, N250530 E1152500, N244024 E1152430, N242857 E1161243, N241024 E1160526, N234257 E1155437, N232600 E1142742, N233855 E1141941, N234306 E1141200, N241736 E1144406, N244800 E1145100"
ZGGGAR02,广州,0-12500,"N241736 E1144406, N234306 E1141200, N235542 E1133836, N241106 E1133254, N242156 E1133348, N251228 E1133805, N244800 E1145100, N241736 E1144406"
ZGGGAR03,广州,0-12500,"N242156 E1133348, N241106 E1133254, N235542 E1133836, N233206 E1132306, N232430 E1123200, N235103 E1124749, N242905 E1123408, N241958 E1132512, N242156 E1133348"
ZGGGAR04,广州,0-8400,"N242118 E1111648, N232430 E1123200, N230417 E1122907, N224800 E1122918, N215048 E1113030, N222806 E1104706, N225136 E1103300, N240742 E1101106, N240854 E1111600, N242118 E1111648"
ZGGGAR05,广州,0-9800,"N222130 E1135200, N214115 E1130000, N222606 E1130000, N224800 E1122918, N230417 E1122907, N232430 E1123200, N233206 E1132306, N235542 E1133836, N234306 E1141200, N233855 E1141941, N232600 E1142742, N231524 E1141118, N225400 E1140342, N224818 E1142800, N223700 E1144500, N222430 E1144500, N222430 E1143000, Hong Kong Boundaries, N222130 E1135200"
ZGGGAR06,广州,0-12500,"N222430 E1144500, N222430 E1154000, N223800 E1162200, N230500 E1153300, N231906 E1154518, N234257 E1155437, N232600 E1142742, N231524 E1141118, N225400 E1140342, N224818 E1142800, N223700 E1144500, N222430 E1144500"
ZGGGAR08,广州,0-12500,"N234200 E1171100, N233000 E1173000, N230000 E1173000, N223800 E1162200, N230500 E1153300, N231906 E1154518, N234257 E1155437, N241024 E1160526, N242857 E1161243, N242200 E1164200, N240000 E1165800, N234200 E1171100"
ZGGGAR11,广州,9200-12500,"N263500 E1091900, N251636 E1112024, N240854 E1111600, N240742 E1101106, N244006 E1095024, N254200 E1073900, N263500 E1091900"
ZGGGAR12,广州,7800-12500,"N273718 E1121729, N265430 E1123800, N253342 E1122130, N253100 E1121146, N251636 E1112024, N260608 E1100352, N274219 E1104255, N280734 E1104255, N281906 E1114720, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N273718 E1121729."
ZGGGAR13,广州,7800-9800,"N283100 E1121144, N292500 E1121000, N292300 E1130712, N290200 E1143400, N274501 E1141326, N273743 E1133143, N265430 E1123800, N273718 E1121729, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N283100 E1121144"
ZGGGAR14,广州,9800-12500,"N283100 E1121144, N292500 E1121000, N292300 E1130712, N290200 E1143400, N264200 E1135700, N262414 E1140132, N262210 E1135357, N261332 E1134323, N255630 E1134200, N253342 E1122130, N265430 E1123800, N273718 E1121729, a clockwised arc with radius, 50km centered at Laoliangcang, ‘LLC', N283100 E1121144"
ZGGGAR15,广州,7800-9800,"N304659 E1141214, N300520 E1141833, N290200 E1143400, N292300 E1130712, N292402 E1123854, N301259 E1131108, N303822 E1130832, N310701 E1130536, N304659 E1141214"
