航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
G58714,华夏航空,中川机场,嘉峪关机场,LHW,JGN,17:40,取消,19:10,取消,取消,1h30m,LHW,JGN,兰州,嘉峪关,2020-04-02
MU4037,东方航空,中川机场,嘉峪关机场,LHW,JGN,17:40,取消,19:10,取消,取消,1h30m,LHW,JGN,兰州,嘉峪关,2020-04-02
3U8771,四川航空,中川机场,嘉峪关机场,LHW,JGN,17:40,取消,19:10,取消,取消,1h30m,LHW,JGN,兰州,嘉峪关,2020-04-02
ZH8506,深圳航空,晋江机场,苏南硕放国际机场,JJN,WUX,09:55,取消,11:40,取消,取消,1h45m,JJN,WUX,泉州,无锡,2020-04-02
ZH4377,深圳航空,双流国际机场,荷花机场,CTU,DYG,10:25,取消,12:00,取消,取消,1h35m,CTU,DYG,成都,张家界,2020-04-02
CA4377,中国国航,双流国际机场,荷花机场,CTU,DYG,10:25,取消,12:00,取消,取消,1h35m,CTU,DYG,成都,张家界,2020-04-02
TV6391,西藏航空,双流国际机场,荷花机场,CTU,DYG,10:25,取消,12:00,取消,取消,1h35m,CTU,DYG,成都,张家界,2020-04-02
DZ6345,东海航空,新郑国际机场,蓬莱国际机场,CGO,YNT,12:35,取消,13:35,取消,取消,1h0m,CGO,YNT,郑州,烟台,2020-04-02
SC4710,山东航空,新郑国际机场,蓬莱国际机场,CGO,YNT,17:05,17:01,18:55,18:25,到达,1h24m,CGO,YNT,郑州,烟台,2020-04-02
CA4710,中国国航,新郑国际机场,蓬莱国际机场,CGO,YNT,17:05,17:01,18:55,18:25,到达,1h24m,CGO,YNT,郑州,烟台,2020-04-02
MU5576,东方航空,新郑国际机场,蓬莱国际机场,CGO,YNT,22:45,取消,00:30+1,取消,取消,1h45m,CGO,YNT,郑州,烟台,2020-04-02
SC3635,山东航空,六盘山机场,银川河东国际机场,GYU,INC,10:35,取消,11:25,取消,取消,0h50m,GYU,INC,固原,银川,2020-04-02
MU6605,东方航空,六盘山机场,银川河东国际机场,GYU,INC,10:35,取消,11:25,取消,取消,0h50m,GYU,INC,固原,银川,2020-04-02
3U2013,四川航空,六盘山机场,银川河东国际机场,GYU,INC,10:35,取消,11:25,取消,取消,0h50m,GYU,INC,固原,银川,2020-04-02
G52667,华夏航空,六盘山机场,银川河东国际机场,GYU,INC,10:35,取消,11:25,取消,取消,0h50m,GYU,INC,固原,银川,2020-04-02
3U2015,四川航空,六盘山机场,银川河东国际机场,GYU,INC,16:05,16:00,16:55,16:35,到达,0h35m,GYU,INC,固原,银川,2020-04-02
SC3709,山东航空,六盘山机场,银川河东国际机场,GYU,INC,16:05,16:00,16:55,16:35,到达,0h35m,GYU,INC,固原,银川,2020-04-02
G52669,华夏航空,六盘山机场,银川河东国际机场,GYU,INC,16:05,16:00,16:55,16:35,到达,0h35m,GYU,INC,固原,银川,2020-04-02
ZH9758,深圳航空,龙湾国际机场,临沂启阳机场,WNZ,LYI,15:35,取消,17:20,取消,取消,1h45m,WNZ,LYI,温州,临沂,2020-04-02
PN6220,西部航空,长乐国际机场,天河国际机场,FOC,WUH,11:20,取消,13:10,取消,取消,1h50m,FOC,WUH,福州,武汉,2020-04-02
MF8233,厦门航空,五桥机场,咸阳国际机场,WXN,XIY,15:20,15:21,16:25,16:15,到达,0h54m,WXN,SIA,万州,西安,2020-04-02
MU4141,东方航空,五桥机场,咸阳国际机场,WXN,XIY,15:20,15:21,16:25,16:15,到达,0h54m,WXN,SIA,万州,西安,2020-04-02
NS8233,河北航空,五桥机场,咸阳国际机场,WXN,XIY,15:20,15:21,16:25,16:15,到达,0h54m,WXN,SIA,万州,西安,2020-04-02
CZ5103,南方航空,高崎国际机场,地窝堡国际机场,XMN,URC,07:00,07:09,15:05,15:26,到达,8h17m,XMN,URC,厦门,乌鲁木齐,2020-04-02
3U4045,四川航空,高崎国际机场,地窝堡国际机场,XMN,URC,07:00,07:09,15:05,15:26,到达,8h17m,XMN,URC,厦门,乌鲁木齐,2020-04-02
NS8275,河北航空,高崎国际机场,地窝堡国际机场,XMN,URC,07:00,07:09,15:05,15:26,到达,8h17m,XMN,URC,厦门,乌鲁木齐,2020-04-02
MF8275,厦门航空,高崎国际机场,地窝堡国际机场,XMN,URC,07:00,07:09,15:05,15:26,到达,8h17m,XMN,URC,厦门,乌鲁木齐,2020-04-02
G58399,华夏航空,高崎国际机场,地窝堡国际机场,XMN,URC,07:15,07:27,15:10,15:42,到达,8h15m,XMN,URC,厦门,乌鲁木齐,2020-04-02
CA8045,中国国航,高崎国际机场,地窝堡国际机场,XMN,URC,07:15,07:27,15:10,15:42,到达,8h15m,XMN,URC,厦门,乌鲁木齐,2020-04-02
SC8045,山东航空,高崎国际机场,地窝堡国际机场,XMN,URC,07:15,07:27,15:10,15:42,到达,8h15m,XMN,URC,厦门,乌鲁木齐,2020-04-02
MU2313,东方航空,曹家堡机场,玉树巴塘机场,XNN,YUS,09:55,09:50,11:15,10:59,到达,1h9m,XNN,YUS,西宁,玉树,2020-04-02
CZ9406,南方航空,曹家堡机场,玉树巴塘机场,XNN,YUS,09:55,09:50,11:15,10:59,到达,1h9m,XNN,YUS,西宁,玉树,2020-04-02
GX2032,北部湾航空,江北国际机场,北郊机场,CKG,LYA,10:25,取消,12:05,取消,取消,1h40m,CKG,LYA,重庆,洛阳,2020-04-02
FU6586,福州航空,呼伦贝尔东山国际机场,咸阳国际机场,HLD,XIY,17:05,17:05,23:20,22:43,到达,5h38m,HLD,SIA,海拉尔,西安,2020-04-02
EU2221,成都航空,双流国际机场,五台山机场,CTU,WUT,07:20,07:34,09:20,09:26,到达,1h52m,CTU,WUT,成都,忻州,2020-04-02
HO3470,吉祥航空,双流国际机场,五台山机场,CTU,WUT,07:20,07:34,09:20,09:26,到达,1h52m,CTU,WUT,成都,忻州,2020-04-02
KY8315,昆明航空,驼峰机场,禄口国际机场,TCZ,NKG,08:10,取消,11:10,取消,取消,3h0m,TCZ,NKG,腾冲,南京,2020-04-02
9C8586,春秋航空,白塔国际机场,正定国际机场,HET,SJW,14:00,14:06,15:25,14:59,到达,0h53m,HET,SJW,呼和浩特,石家庄,2020-04-02
MU5438,东方航空,长水国际机场,高坪机场,KMG,NAO,15:55,16:09,17:50,17:38,到达,1h29m,KMG,NAO,昆明,南充,2020-04-02
DZ6247,东海航空,兴东国际机场,地窝堡国际机场,NTG,URC,15:00,15:12,22:40,22:33,到达,7h21m,NTG,URC,南通,乌鲁木齐,2020-04-02
8L9948,祥鹏航空,双流国际机场,长水国际机场,CTU,KMG,06:00,06:02,07:35,07:11,到达,1h9m,CTU,KMG,成都,昆明,2020-04-02
HO3464,吉祥航空,双流国际机场,长水国际机场,CTU,KMG,06:40,取消,08:25,取消,取消,1h45m,CTU,KMG,成都,昆明,2020-04-02
EU2211,成都航空,双流国际机场,长水国际机场,CTU,KMG,06:40,取消,08:25,取消,取消,1h45m,CTU,KMG,成都,昆明,2020-04-02
3U8564,四川航空,双流国际机场,长水国际机场,CTU,KMG,10:30,10:31,12:05,11:36,到达,1h5m,CTU,KMG,成都,昆明,2020-04-02
SC4413,山东航空,双流国际机场,长水国际机场,CTU,KMG,10:50,10:52,12:35,11:58,到达,1h6m,CTU,KMG,成都,昆明,2020-04-02
KY4413,昆明航空,双流国际机场,长水国际机场,CTU,KMG,10:50,10:52,12:35,11:58,到达,1h6m,CTU,KMG,成都,昆明,2020-04-02
ZH4413,深圳航空,双流国际机场,长水国际机场,CTU,KMG,10:50,10:52,12:35,11:58,到达,1h6m,CTU,KMG,成都,昆明,2020-04-02
CA4413,中国国航,双流国际机场,长水国际机场,CTU,KMG,10:50,10:52,12:35,11:58,到达,1h6m,CTU,KMG,成都,昆明,2020-04-02
MF3106,厦门航空,双流国际机场,长水国际机场,CTU,KMG,13:15,取消,14:45,取消,取消,1h30m,CTU,KMG,成都,昆明,2020-04-02
CZ9444,南方航空,双流国际机场,长水国际机场,CTU,KMG,13:15,取消,14:45,取消,取消,1h30m,CTU,KMG,成都,昆明,2020-04-02
3U5160,四川航空,双流国际机场,长水国际机场,CTU,KMG,13:15,取消,14:45,取消,取消,1h30m,CTU,KMG,成都,昆明,2020-04-02
HO3800,吉祥航空,双流国际机场,长水国际机场,CTU,KMG,13:15,取消,14:45,取消,取消,1h30m,CTU,KMG,成都,昆明,2020-04-02
MU5846,东方航空,双流国际机场,长水国际机场,CTU,KMG,13:15,取消,14:45,取消,取消,1h30m,CTU,KMG,成都,昆明,2020-04-02
MF3110,厦门航空,双流国际机场,长水国际机场,CTU,KMG,14:00,14:00,15:35,15:14,到达,1h14m,CTU,KMG,成都,昆明,2020-04-02
CZ9445,南方航空,双流国际机场,长水国际机场,CTU,KMG,14:00,14:00,15:35,15:14,到达,1h14m,CTU,KMG,成都,昆明,2020-04-02
MU5852,东方航空,双流国际机场,长水国际机场,CTU,KMG,14:00,14:00,15:35,15:14,到达,1h14m,CTU,KMG,成都,昆明,2020-04-02
3U5164,四川航空,双流国际机场,长水国际机场,CTU,KMG,14:00,14:00,15:35,15:14,到达,1h14m,CTU,KMG,成都,昆明,2020-04-02
HO3804,吉祥航空,双流国际机场,长水国际机场,CTU,KMG,14:00,14:00,15:35,15:14,到达,1h14m,CTU,KMG,成都,昆明,2020-04-02
MU9718,东方航空,双流国际机场,长水国际机场,CTU,KMG,14:10,14:08,15:40,15:15,到达,1h7m,CTU,KMG,成都,昆明,2020-04-02
MF3108,厦门航空,双流国际机场,长水国际机场,CTU,KMG,17:30,17:37,19:15,18:48,到达,1h11m,CTU,KMG,成都,昆明,2020-04-02
MU5842,东方航空,双流国际机场,长水国际机场,CTU,KMG,17:30,17:37,19:15,18:48,到达,1h11m,CTU,KMG,成都,昆明,2020-04-02
MU5844,东方航空,双流国际机场,长水国际机场,CTU,KMG,19:40,19:54,21:25,21:24,到达,1h30m,CTU,KMG,成都,昆明,2020-04-02
CZ9443,南方航空,双流国际机场,长水国际机场,CTU,KMG,19:40,19:54,21:25,21:24,到达,1h30m,CTU,KMG,成都,昆明,2020-04-02
HO3798,吉祥航空,双流国际机场,长水国际机场,CTU,KMG,19:40,19:54,21:25,21:24,到达,1h30m,CTU,KMG,成都,昆明,2020-04-02
3U5158,四川航空,双流国际机场,长水国际机场,CTU,KMG,19:40,19:54,21:25,21:24,到达,1h30m,CTU,KMG,成都,昆明,2020-04-02
MF3104,厦门航空,双流国际机场,长水国际机场,CTU,KMG,19:40,19:54,21:25,21:24,到达,1h30m,CTU,KMG,成都,昆明,2020-04-02
A67102,红土航空,双流国际机场,长水国际机场,CTU,KMG,21:20,21:24,22:55,22:31,到达,1h7m,CTU,KMG,成都,昆明,2020-04-02
MF3112,厦门航空,双流国际机场,长水国际机场,CTU,KMG,22:00,取消,23:35,取消,取消,1h35m,CTU,KMG,成都,昆明,2020-04-02
CZ9446,南方航空,双流国际机场,长水国际机场,CTU,KMG,22:00,取消,23:35,取消,取消,1h35m,CTU,KMG,成都,昆明,2020-04-02
MU5850,东方航空,双流国际机场,长水国际机场,CTU,KMG,22:00,取消,23:35,取消,取消,1h35m,CTU,KMG,成都,昆明,2020-04-02
3U5162,四川航空,双流国际机场,长水国际机场,CTU,KMG,22:00,取消,23:35,取消,取消,1h35m,CTU,KMG,成都,昆明,2020-04-02
HO3802,吉祥航空,双流国际机场,长水国际机场,CTU,KMG,22:00,取消,23:35,取消,取消,1h35m,CTU,KMG,成都,昆明,2020-04-02
CA4417,中国国航,双流国际机场,长水国际机场,CTU,KMG,22:15,22:06,23:50,23:13,到达,1h7m,CTU,KMG,成都,昆明,2020-04-02
ZH4417,深圳航空,双流国际机场,长水国际机场,CTU,KMG,22:15,22:06,23:50,23:13,到达,1h7m,CTU,KMG,成都,昆明,2020-04-02
KY4417,昆明航空,双流国际机场,长水国际机场,CTU,KMG,22:15,22:06,23:50,23:13,到达,1h7m,CTU,KMG,成都,昆明,2020-04-02
SC4417,山东航空,双流国际机场,长水国际机场,CTU,KMG,22:15,22:06,23:50,23:13,到达,1h7m,CTU,KMG,成都,昆明,2020-04-02
DR6522,瑞丽航空,双流国际机场,长水国际机场,CTU,KMG,22:55,22:56,00:40+1,00:08+1,到达,1h12m,CTU,KMG,成都,昆明,2020-04-02
8L9946,祥鹏航空,双流国际机场,长水国际机场,CTU,KMG,23:45,23:43,01:20+1,00:49+1,到达,1h6m,CTU,KMG,成都,昆明,2020-04-02
MU5574,东方航空,黄金机场,浦东国际机场,KOW,PVG,12:55,12:54,14:45,14:26,到达,1h32m,KOW,SHA,赣州,上海,2020-04-02
MU2892,东方航空,白塔国际机场,白塔埠机场,HET,LYG,13:25,13:39,15:50,15:40,到达,2h1m,HET,LYG,呼和浩特,连云港,2020-04-02
G58537,华夏航空,白塔国际机场,白塔埠机场,HET,LYG,13:25,13:39,15:50,15:40,到达,2h1m,HET,LYG,呼和浩特,连云港,2020-04-02
GJ8811,长龙航空,新舟机场,三义机场,ZYI,LJG,13:25,13:24,15:05,15:04,到达,1h40m,ZYI,LJG,遵义,丽江,2020-04-02
9C8831,春秋航空,桃仙国际机场,咸阳国际机场,SHE,XIY,06:30,06:24,09:40,09:04,到达,2h40m,SHE,SIA,沈阳,西安,2020-04-02
MU2164,东方航空,桃仙国际机场,咸阳国际机场,SHE,XIY,10:50,10:48,14:15,13:31,到达,2h43m,SHE,SIA,沈阳,西安,2020-04-02
3U5004,四川航空,桃仙国际机场,咸阳国际机场,SHE,XIY,10:50,10:48,14:15,13:31,到达,2h43m,SHE,SIA,沈阳,西安,2020-04-02
CZ6415,南方航空,桃仙国际机场,咸阳国际机场,SHE,XIY,10:55,10:53,14:25,13:34,到达,2h41m,SHE,SIA,沈阳,西安,2020-04-02
CZ6455,南方航空,桃仙国际机场,咸阳国际机场,SHE,XIY,19:35,取消,22:55,取消,取消,3h20m,SHE,SIA,沈阳,西安,2020-04-02
3U1175,四川航空,桃仙国际机场,咸阳国际机场,SHE,XIY,19:35,取消,22:55,取消,取消,3h20m,SHE,SIA,沈阳,西安,2020-04-02
HU7570,海南航空,桃仙国际机场,咸阳国际机场,SHE,XIY,20:05,取消,23:25,取消,取消,3h20m,SHE,SIA,沈阳,西安,2020-04-02
9H8340,长安航空,桃仙国际机场,咸阳国际机场,SHE,XIY,20:15,取消,00:55+1,取消,取消,4h40m,SHE,SIA,沈阳,西安,2020-04-02
GJ8921,长龙航空,太平国际机场,美兰国际机场,HRB,HAK,06:30,06:23,13:30,13:23,到达,7h0m,HRB,HAK,哈尔滨,海口,2020-04-02
ZH3055,深圳航空,太平国际机场,美兰国际机场,HRB,HAK,06:55,07:00,13:30,13:26,到达,6h26m,HRB,HAK,哈尔滨,海口,2020-04-02
SC4839,山东航空,太平国际机场,美兰国际机场,HRB,HAK,06:55,07:00,13:30,13:26,到达,6h26m,HRB,HAK,哈尔滨,海口,2020-04-02
CA4839,中国国航,太平国际机场,美兰国际机场,HRB,HAK,06:55,07:00,13:30,13:26,到达,6h26m,HRB,HAK,哈尔滨,海口,2020-04-02
MF8341,厦门航空,太平国际机场,美兰国际机场,HRB,HAK,07:20,07:19,14:50,14:25,到达,7h6m,HRB,HAK,哈尔滨,海口,2020-04-02
NS8341,河北航空,太平国际机场,美兰国际机场,HRB,HAK,07:20,07:19,14:50,14:25,到达,7h6m,HRB,HAK,哈尔滨,海口,2020-04-02
CZ5135,南方航空,太平国际机场,美兰国际机场,HRB,HAK,07:20,07:19,14:50,14:25,到达,7h6m,HRB,HAK,哈尔滨,海口,2020-04-02
FU6613,福州航空,太平国际机场,美兰国际机场,HRB,HAK,09:20,09:23,16:10,15:54,到达,6h31m,HRB,HAK,哈尔滨,海口,2020-04-02
AQ1040,九元航空,太平国际机场,美兰国际机场,HRB,HAK,14:00,取消,21:25,取消,取消,7h25m,HRB,HAK,哈尔滨,海口,2020-04-02
ZH9350,深圳航空,太平国际机场,美兰国际机场,HRB,HAK,15:50,15:38,23:00,22:37,到达,6h59m,HRB,HAK,哈尔滨,海口,2020-04-02
HO5015,吉祥航空,太平国际机场,美兰国际机场,HRB,HAK,15:50,15:38,23:00,22:37,到达,6h59m,HRB,HAK,哈尔滨,海口,2020-04-02
CA3330,中国国航,太平国际机场,美兰国际机场,HRB,HAK,15:50,15:38,23:00,22:37,到达,6h59m,HRB,HAK,哈尔滨,海口,2020-04-02
MF1659,厦门航空,太平国际机场,美兰国际机场,HRB,HAK,15:55,15:55,23:45,23:20,到达,7h25m,HRB,HAK,哈尔滨,海口,2020-04-02
3U1190,四川航空,太平国际机场,美兰国际机场,HRB,HAK,15:55,15:55,23:45,23:20,到达,7h25m,HRB,HAK,哈尔滨,海口,2020-04-02
CZ6666,南方航空,太平国际机场,美兰国际机场,HRB,HAK,15:55,15:55,23:45,23:20,到达,7h25m,HRB,HAK,哈尔滨,海口,2020-04-02
HU7358,海南航空,太平国际机场,美兰国际机场,HRB,HAK,16:15,16:17,22:30,22:16,到达,5h59m,HRB,HAK,哈尔滨,海口,2020-04-02
JD5122,首都航空,太平国际机场,美兰国际机场,HRB,HAK,18:15,18:10,01:40+1,02:27+1,到达,8h17m,HRB,HAK,哈尔滨,海口,2020-04-02
MU2291,东方航空,明港机场,萧山国际机场,XAI,HGH,09:10,09:05,10:35,10:12,到达,1h7m,XAI,HGH,信阳,杭州,2020-04-02
EU2202,成都航空,晋江机场,兴义机场,JJN,ACX,15:50,15:51,18:30,18:24,到达,2h33m,JJN,ACX,泉州,兴义,2020-04-02
TV6715,西藏航空,宝安国际机场,五桥机场,SZX,WXN,07:45,07:52,10:00,09:42,到达,1h50m,SZX,WXN,深圳,万州,2020-04-02
KY9959,昆明航空,宝安国际机场,五桥机场,SZX,WXN,07:45,07:52,10:00,09:42,到达,1h50m,SZX,WXN,深圳,万州,2020-04-02
ZH9959,深圳航空,宝安国际机场,五桥机场,SZX,WXN,07:45,07:52,10:00,09:42,到达,1h50m,SZX,WXN,深圳,万州,2020-04-02
3U4445,四川航空,宝安国际机场,五桥机场,SZX,WXN,07:45,07:52,10:00,09:42,到达,1h50m,SZX,WXN,深圳,万州,2020-04-02
CA3887,中国国航,宝安国际机场,五桥机场,SZX,WXN,07:45,07:52,10:00,09:42,到达,1h50m,SZX,WXN,深圳,万州,2020-04-02
ZH1881,深圳航空,首都国际机场,福成机场,PEK,BHY,16:00,取消,19:50,取消,取消,3h50m,BJS,BHY,北京,北海,2020-04-02
CA1881,中国国航,首都国际机场,福成机场,PEK,BHY,16:00,取消,19:50,取消,取消,3h50m,BJS,BHY,北京,北海,2020-04-02
BK2729,奥凯航空,滨海国际机场,凤凰国际机场,TSN,SYX,10:35,取消,14:45,取消,取消,4h10m,TSN,SYX,天津,三亚,2020-04-02
AQ1048,九元航空,滨海国际机场,凤凰国际机场,TSN,SYX,11:05,取消,17:55,取消,取消,6h50m,TSN,SYX,天津,三亚,2020-04-02
BK2727,奥凯航空,滨海国际机场,凤凰国际机场,TSN,SYX,12:35,取消,16:35,取消,取消,4h0m,TSN,SYX,天津,三亚,2020-04-02
GS7871,天津航空,滨海国际机场,凤凰国际机场,TSN,SYX,14:50,取消,19:05,取消,取消,4h15m,TSN,SYX,天津,三亚,2020-04-02
